image_id,image_width,image_height,image_path,label_colored_path,label_layers_path,label_regions_path,label_surfaces_path,horizon_position
0000047,320,240,images/0000047.jpg,labels_colored/0000047.png,labels_raw/0000047.layers.txt,labels_raw/0000047.regions.txt,labels_raw/0000047.surfaces.txt,100.650376
0000051,320,240,images/0000051.jpg,labels_colored/0000051.png,labels_raw/0000051.layers.txt,labels_raw/0000051.regions.txt,labels_raw/0000051.surfaces.txt,131.10773500000002
0000059,320,240,images/0000059.jpg,labels_colored/0000059.png,labels_raw/0000059.layers.txt,labels_raw/0000059.regions.txt,labels_raw/0000059.surfaces.txt,140.389503
0000072,320,240,images/0000072.jpg,labels_colored/0000072.png,labels_raw/0000072.layers.txt,labels_raw/0000072.regions.txt,labels_raw/0000072.surfaces.txt,112.544199
0000087,320,240,images/0000087.jpg,labels_colored/0000087.png,labels_raw/0000087.layers.txt,labels_raw/0000087.regions.txt,labels_raw/0000087.surfaces.txt,174.86464099999998
0000176,320,240,images/0000176.jpg,labels_colored/0000176.png,labels_raw/0000176.layers.txt,labels_raw/0000176.regions.txt,labels_raw/0000176.surfaces.txt,132.433702
0000382,320,214,images/0000382.jpg,labels_colored/0000382.png,labels_raw/0000382.layers.txt,labels_raw/0000382.regions.txt,labels_raw/0000382.surfaces.txt,138.240331
0000631,320,180,images/0000631.jpg,labels_colored/0000631.png,labels_raw/0000631.layers.txt,labels_raw/0000631.regions.txt,labels_raw/0000631.surfaces.txt,80.0
0000643,320,240,images/0000643.jpg,labels_colored/0000643.png,labels_raw/0000643.layers.txt,labels_raw/0000643.regions.txt,labels_raw/0000643.surfaces.txt,108.566298
0000697,320,220,images/0000697.jpg,labels_colored/0000697.png,labels_raw/0000697.layers.txt,labels_raw/0000697.regions.txt,labels_raw/0000697.surfaces.txt,74.035912
0000759,320,242,images/0000759.jpg,labels_colored/0000759.png,labels_raw/0000759.layers.txt,labels_raw/0000759.regions.txt,labels_raw/0000759.surfaces.txt,168.29558
0000794,320,241,images/0000794.jpg,labels_colored/0000794.png,labels_raw/0000794.layers.txt,labels_raw/0000794.regions.txt,labels_raw/0000794.surfaces.txt,167.60221
0000952,320,240,images/0000952.jpg,labels_colored/0000952.png,labels_raw/0000952.layers.txt,labels_raw/0000952.regions.txt,labels_raw/0000952.surfaces.txt,44.675824
0001677,320,240,images/0001677.jpg,labels_colored/0001677.png,labels_raw/0001677.layers.txt,labels_raw/0001677.regions.txt,labels_raw/0001677.surfaces.txt,71.049451
0002136,320,240,images/0002136.jpg,labels_colored/0002136.png,labels_raw/0002136.layers.txt,labels_raw/0002136.regions.txt,labels_raw/0002136.surfaces.txt,81.598901
0002395,320,240,images/0002395.jpg,labels_colored/0002395.png,labels_raw/0002395.layers.txt,labels_raw/0002395.regions.txt,labels_raw/0002395.surfaces.txt,119.840659
0002755,320,240,images/0002755.jpg,labels_colored/0002755.png,labels_raw/0002755.layers.txt,labels_raw/0002755.regions.txt,labels_raw/0002755.surfaces.txt,90.82967
0003178,320,285,images/0003178.jpg,labels_colored/0003178.png,labels_raw/0003178.layers.txt,labels_raw/0003178.regions.txt,labels_raw/0003178.surfaces.txt,32.601648
0003423,214,320,images/0003423.jpg,labels_colored/0003423.png,labels_raw/0003423.layers.txt,labels_raw/0003423.regions.txt,labels_raw/0003423.surfaces.txt,150.82967
